survey_id,member_id,survey_date,nps_score,csat_score,effort_score,feedback_text,survey_type
S00003206,M00002778,2023-02-28,7,4,2,Quick and easy,annual
S00003207,M00007625,2024-08-16,6,3,2,Had to call multiple times,post_digital
S00003208,M00000666,2023-11-10,6,5,4,Agent was knowledgeable,post_digital
S00003209,M00008631,2023-03-13,5,4,3,Could not find what I needed online,periodic
S00003210,M00007722,2024-08-12,7,4,2,Agent was knowledgeable,post_call
S00003211,M00007925,2024-09-29,7,4,3,Process is too complicated,post_call
S00003212,M00003001,2023-11-08,1,5,1,Quick and easy,post_digital
S00003213,M00007572,2024-06-26,4,4,1,Website is confusing,periodic
S00003214,M00006257,2024-11-14,8,5,3,,annual
S00003215,M00008740,2024-08-23,4,3,1,Website is confusing,post_digital
S00003216,M00000288,2024-06-05,7,3,4,,periodic
S00003217,M00000099,2024-10-29,10,5,3,Billing is unclear,annual
S00003218,M00004419,2023-07-08,6,4,5,Website is confusing,periodic
S00003219,M00007315,2024-11-11,8,5,5,Process is too complicated,post_call
S00003220,M00003719,2024-09-25,4,5,3,Agent was knowledgeable,annual
S00003221,M00009779,2023-08-15,5,3,2,Agent was knowledgeable,periodic
S00003222,M00008052,2024-10-12,5,5,7,,annual
S00003223,M00002927,2024-12-21,0,4,2,,post_call
S00003224,M00000444,2024-02-10,10,3,3,Billing is unclear,post_digital
S00003225,M00006729,2024-07-30,9,5,2,Billing is unclear,post_call
S00003226,M00002094,2024-09-09,3,4,5,,annual
S00003227,M00007521,2024-01-14,7,4,3,,post_call
S00003228,M00008647,2024-04-26,3,2,3,,post_digital
S00003229,M00000562,2023-11-21,4,4,4,"Great service, very helpful",post_call
S00003230,M00002609,2023-06-27,8,3,3,,post_call
S00003231,M00006428,2023-01-20,1,3,3,Website is confusing,post_call
S00003232,M00003094,2024-07-23,4,5,4,,post_digital
S00003233,M00003839,2024-06-15,9,4,1,Process is too complicated,post_call
S00003234,M00002925,2023-09-06,10,5,2,Website is confusing,post_digital
S00003235,M00000794,2024-07-19,2,4,1,Billing is unclear,post_digital
S00003236,M00003048,2024-10-03,1,4,4,Quick and easy,periodic
S00003237,M00006908,2024-08-24,8,2,3,,post_call
S00003238,M00009318,2024-08-09,7,5,4,Billing is unclear,post_call
S00003239,M00001861,2023-03-24,4,1,3,Process is too complicated,post_digital
S00003240,M00000581,2024-10-25,5,3,4,,annual
S00003241,M00001194,2024-05-26,4,5,4,Quick and easy,periodic
S00003242,M00004365,2024-08-06,6,3,4,Could not find what I needed online,periodic
S00003243,M00002336,2024-09-09,4,3,4,,post_digital
S00003244,M00007582,2024-03-15,8,5,2,Had to call multiple times,post_digital
S00003245,M00009688,2023-04-27,8,2,1,Very satisfied with my plan,post_call
S00003246,M00009772,2023-09-04,7,5,2,,periodic
S00003247,M00001670,2024-11-06,8,3,1,,post_call
S00003248,M00002381,2024-12-02,0,4,3,Too long wait time,post_digital
S00003249,M00005946,2024-09-09,1,5,2,Very satisfied with my plan,post_call
S00003250,M00004250,2024-04-29,9,3,5,Quick and easy,post_digital
S00003251,M00002965,2024-08-20,8,1,3,"Great service, very helpful",post_call
S00003252,M00000273,2023-04-19,7,5,4,"Great service, very helpful",post_call
S00003253,M00008203,2024-12-27,6,5,1,Agent was knowledgeable,post_call
S00003254,M00005461,2024-10-18,8,4,2,,post_call
S00003255,M00006940,2024-11-01,9,3,4,Very satisfied with my plan,periodic
S00003256,M00004930,2024-05-07,6,4,3,Billing is unclear,post_call
S00003257,M00000942,2024-10-19,6,3,2,Could not find what I needed online,post_call
S00003258,M00003986,2023-07-22,1,3,1,Could not find what I needed online,post_call
S00003259,M00003810,2024-09-01,4,3,1,Too long wait time,post_digital
S00003260,M00009345,2024-04-29,6,5,4,"Great service, very helpful",post_call
S00003261,M00008931,2023-05-19,0,3,1,,post_digital
S00003262,M00007279,2024-06-30,3,3,2,Could not find what I needed online,post_digital
S00003263,M00007645,2024-01-18,3,3,3,Too long wait time,post_digital
S00003264,M00008908,2023-12-13,6,4,7,Too long wait time,post_digital
S00003265,M00008169,2023-03-18,5,3,1,Too long wait time,post_call
S00003266,M00007585,2023-10-09,9,5,2,Had to call multiple times,post_digital
S00003267,M00001963,2023-12-14,7,4,4,"Great service, very helpful",post_digital
S00003268,M00008166,2023-08-17,8,4,3,,post_digital
S00003269,M00005027,2023-07-26,3,2,3,,periodic
S00003270,M00007353,2023-09-24,7,2,2,Billing is unclear,annual
S00003271,M00006157,2023-07-29,7,3,3,Agent was knowledgeable,post_digital
S00003272,M00004343,2023-11-15,8,4,6,Too long wait time,post_call
S00003273,M00003441,2024-10-31,0,5,5,Billing is unclear,post_call
S00003274,M00005173,2024-01-18,6,1,6,,post_call
S00003275,M00007683,2024-09-30,3,4,3,Had to call multiple times,post_call
S00003276,M00007036,2024-01-17,7,5,4,,post_call
S00003277,M00005141,2023-11-16,7,3,4,,post_call
S00003278,M00005833,2023-03-11,9,1,1,Could not find what I needed online,post_digital
S00003279,M00009843,2023-03-28,6,2,4,Could not find what I needed online,annual
S00003280,M00004314,2023-02-01,6,2,4,Could not find what I needed online,annual
S00003281,M00009333,2023-06-26,5,3,3,,post_call
S00003282,M00000830,2024-05-20,5,3,2,Website is confusing,periodic
S00003283,M00004483,2024-01-16,9,4,2,"Great service, very helpful",post_call
S00003284,M00006821,2023-06-28,10,4,2,Had to call multiple times,post_call
S00003285,M00007755,2024-01-24,5,5,5,Process is too complicated,post_call
S00003286,M00005973,2024-10-11,6,3,4,Website is confusing,post_call
S00003287,M00005504,2023-06-25,8,5,3,Could not find what I needed online,annual
S00003288,M00009089,2024-06-22,10,3,6,Too long wait time,post_call
S00003289,M00000515,2024-05-14,6,5,2,,post_digital
S00003290,M00007270,2024-03-04,7,2,3,Could not find what I needed online,post_call
S00003291,M00000535,2023-05-16,9,5,3,,post_call
S00003292,M00006649,2023-09-17,7,4,2,Website is confusing,post_call
S00003293,M00003254,2024-10-27,9,4,3,Quick and easy,post_digital
S00003294,M00007604,2024-02-04,1,5,2,,post_digital
S00003295,M00008593,2024-06-15,1,4,1,Quick and easy,post_call
S00003296,M00000635,2023-12-06,6,3,3,Billing is unclear,periodic
S00003297,M00003812,2023-10-06,7,5,4,,post_digital
S00003298,M00003828,2024-03-19,6,3,2,,post_digital
S00003299,M00009026,2024-05-11,10,3,2,,post_digital
S00003300,M00008575,2023-10-13,3,3,2,Very satisfied with my plan,annual
S00003301,M00002735,2023-02-22,8,3,3,Quick and easy,periodic
S00003302,M00006782,2023-08-17,5,5,3,,periodic
S00003303,M00007979,2023-05-29,9,3,4,,post_call
S00003304,M00002758,2023-06-22,1,4,2,Website is confusing,post_call
S00003305,M00002261,2023-07-26,7,3,3,Process is too complicated,post_call
S00003306,M00006101,2024-03-08,8,4,4,Website is confusing,annual
S00003307,M00000119,2023-03-04,4,4,3,Billing is unclear,post_digital
S00003308,M00003049,2024-09-07,5,4,3,,post_call
S00003309,M00009172,2024-03-17,7,4,7,Website is confusing,post_call
S00003310,M00006095,2024-01-16,6,4,3,,post_call
S00003311,M00009717,2023-05-21,4,3,2,Too long wait time,post_call
S00003312,M00004685,2023-10-23,7,5,4,,post_digital
S00003313,M00007632,2023-08-22,9,3,2,Process is too complicated,post_call
S00003314,M00007037,2024-10-15,9,4,1,,periodic
S00003315,M00000162,2024-09-20,5,3,1,Quick and easy,post_digital
S00003316,M00008492,2023-06-22,0,3,2,Could not find what I needed online,post_digital
S00003317,M00009939,2024-12-28,7,2,4,Too long wait time,post_digital
S00003318,M00004044,2023-10-13,7,4,2,Quick and easy,periodic
S00003319,M00005235,2024-12-10,10,1,2,Very satisfied with my plan,post_call
S00003320,M00007392,2024-11-26,8,3,2,Very satisfied with my plan,post_call
S00003321,M00001308,2023-10-23,5,2,3,Too long wait time,post_call
S00003322,M00006407,2024-03-20,5,2,4,,post_call
S00003323,M00000505,2023-10-09,7,3,2,,post_call
S00003324,M00008698,2023-06-10,0,3,4,Too long wait time,post_digital
S00003325,M00004102,2024-10-21,6,2,1,Agent was knowledgeable,periodic
S00003326,M00002298,2023-05-17,7,5,7,Agent was knowledgeable,post_digital
S00003327,M00000247,2024-05-11,0,3,4,,post_digital
S00003328,M00002296,2023-10-29,9,4,5,Very satisfied with my plan,periodic
S00003329,M00001412,2024-12-11,9,2,4,,post_call
S00003330,M00001213,2023-01-06,4,2,2,,post_call
S00003331,M00004129,2023-03-16,5,3,4,Billing is unclear,post_digital
S00003332,M00004637,2023-03-18,8,4,1,Billing is unclear,post_call
S00003333,M00000840,2024-07-12,3,5,1,,post_call
S00003334,M00009289,2023-02-02,7,2,3,Process is too complicated,annual
S00003335,M00003441,2024-02-20,6,4,4,Process is too complicated,post_call
S00003336,M00004134,2024-07-07,8,3,3,Had to call multiple times,post_call
S00003337,M00008793,2024-02-03,9,5,7,Website is confusing,post_digital
S00003338,M00003083,2024-09-09,5,3,5,Agent was knowledgeable,post_call
S00003339,M00007882,2023-07-05,4,3,5,Agent was knowledgeable,post_digital
S00003340,M00007217,2024-01-21,0,4,3,Could not find what I needed online,post_digital
S00003341,M00002094,2023-07-03,10,4,5,Very satisfied with my plan,post_digital
S00003342,M00004606,2023-05-19,5,3,3,Billing is unclear,post_digital
S00003343,M00006438,2023-03-25,3,4,3,Agent was knowledgeable,post_call
S00003344,M00005156,2023-10-22,0,4,3,,annual
S00003345,M00003299,2024-12-14,2,5,3,Agent was knowledgeable,post_call
S00003346,M00005593,2024-06-29,8,5,5,"Great service, very helpful",post_call
S00003347,M00008720,2024-10-08,6,4,7,Too long wait time,post_digital
S00003348,M00009487,2024-09-17,6,4,7,,post_digital
S00003349,M00007949,2023-07-04,8,4,5,Very satisfied with my plan,post_call
S00003350,M00006106,2024-01-01,4,4,3,,periodic
S00003351,M00006487,2024-01-10,10,5,2,Had to call multiple times,periodic
S00003352,M00006258,2023-07-29,6,4,2,Quick and easy,periodic
S00003353,M00004822,2023-10-27,7,3,2,,post_call
S00003354,M00005890,2023-03-24,10,5,4,Too long wait time,post_digital
S00003355,M00006820,2023-12-27,7,3,5,,periodic
S00003356,M00005200,2023-08-08,5,4,3,Agent was knowledgeable,post_call
S00003357,M00005980,2023-08-22,4,4,5,Had to call multiple times,post_call
S00003358,M00003464,2024-01-31,1,1,2,Process is too complicated,post_digital
S00003359,M00004286,2023-10-01,7,4,2,Process is too complicated,post_call
S00003360,M00008221,2023-09-07,5,5,3,Quick and easy,post_call
S00003361,M00000898,2024-09-09,7,3,4,Could not find what I needed online,annual
S00003362,M00004476,2024-12-08,5,1,2,Quick and easy,periodic
S00003363,M00001372,2023-08-18,4,5,3,Could not find what I needed online,post_call
S00003364,M00009961,2023-12-05,6,2,2,,post_call
S00003365,M00008360,2024-01-05,5,4,2,Quick and easy,post_call
S00003366,M00002346,2023-06-24,10,5,6,Quick and easy,periodic
S00003367,M00004736,2024-07-28,8,4,2,,post_digital
S00003368,M00009916,2024-05-18,2,4,3,,post_digital
S00003369,M00003832,2023-04-18,5,5,5,,periodic
S00003370,M00006884,2024-05-24,7,4,4,,post_call
S00003371,M00004897,2024-02-19,8,5,1,Too long wait time,post_call
S00003372,M00008143,2024-08-31,7,2,4,,annual
S00003373,M00009591,2023-06-13,7,4,3,Had to call multiple times,annual
S00003374,M00005229,2023-10-04,5,3,4,Process is too complicated,periodic
S00003375,M00004884,2023-08-17,6,5,2,,post_call
S00003376,M00005231,2023-06-05,5,4,4,,periodic
S00003377,M00002473,2023-11-17,9,4,6,,annual
S00003378,M00006715,2024-04-28,8,4,1,Billing is unclear,post_digital
S00003379,M00002340,2024-12-26,4,4,6,,post_digital
S00003380,M00009954,2023-08-11,8,4,5,"Great service, very helpful",post_call
S00003381,M00006989,2023-07-30,10,5,3,Website is confusing,post_call
S00003382,M00000141,2023-12-05,7,4,2,Agent was knowledgeable,post_call
S00003383,M00002731,2024-11-11,6,4,1,,post_call
S00003384,M00006958,2024-10-17,8,2,6,Too long wait time,post_call
S00003385,M00005288,2024-08-24,7,2,3,,post_call
S00003386,M00004132,2024-02-26,8,3,4,"Great service, very helpful",post_call
S00003387,M00000758,2023-06-09,10,2,3,Quick and easy,post_call
S00003388,M00000876,2024-01-06,6,1,5,"Great service, very helpful",post_call
S00003389,M00005507,2024-10-06,8,3,2,Had to call multiple times,post_call
S00003390,M00003772,2023-07-18,9,5,4,Quick and easy,periodic
S00003391,M00005194,2024-08-29,8,2,3,Agent was knowledgeable,post_call
S00003392,M00005596,2024-12-28,5,4,3,Very satisfied with my plan,post_call
S00003393,M00009795,2024-03-13,5,5,2,Very satisfied with my plan,post_call
S00003394,M00003396,2024-04-17,9,5,3,"Great service, very helpful",post_digital
S00003395,M00004478,2023-11-20,8,2,2,Very satisfied with my plan,post_digital
S00003396,M00007628,2023-06-21,6,5,4,Very satisfied with my plan,post_digital
S00003397,M00009028,2023-04-11,8,4,2,Quick and easy,post_digital
S00003398,M00007673,2023-08-08,9,5,4,Too long wait time,post_digital
S00003399,M00005450,2023-05-30,8,1,1,Could not find what I needed online,post_digital
S00003400,M00001754,2023-01-23,9,2,1,,post_digital
S00003401,M00000332,2023-01-09,7,4,3,Agent was knowledgeable,periodic
S00003402,M00005666,2023-08-05,10,5,2,Agent was knowledgeable,post_digital
S00003403,M00003164,2023-10-11,8,4,4,Process is too complicated,post_digital
S00003404,M00004165,2023-10-13,8,5,1,,annual
S00003405,M00004241,2023-12-21,3,5,1,,post_call
S00003406,M00002822,2023-08-08,8,2,1,"Great service, very helpful",periodic
S00003407,M00003558,2023-12-04,4,4,3,Too long wait time,periodic
S00003408,M00009731,2023-04-09,5,4,6,Too long wait time,post_call
S00003409,M00009673,2023-11-02,8,3,3,Too long wait time,post_digital
S00003410,M00005185,2023-03-10,0,5,3,Very satisfied with my plan,post_digital
S00003411,M00003961,2024-07-29,3,4,4,Very satisfied with my plan,post_digital
S00003412,M00008289,2023-11-15,3,3,4,Process is too complicated,post_digital
S00003413,M00007125,2023-08-09,8,3,2,Could not find what I needed online,post_digital
S00003414,M00004805,2023-07-10,8,5,3,"Great service, very helpful",post_call
S00003415,M00002935,2023-11-09,7,4,7,Website is confusing,post_call
S00003416,M00004474,2023-10-01,5,3,2,Website is confusing,post_call
S00003417,M00003154,2024-12-21,10,5,5,Had to call multiple times,periodic
S00003418,M00007077,2023-02-08,7,5,3,Billing is unclear,periodic
S00003419,M00004458,2023-01-22,3,3,1,Website is confusing,post_digital
S00003420,M00002692,2024-06-19,6,4,5,Very satisfied with my plan,post_call
S00003421,M00008164,2023-11-30,8,3,5,Too long wait time,annual
S00003422,M00004766,2023-09-01,0,2,3,Website is confusing,post_call
S00003423,M00005459,2024-02-21,8,4,4,Had to call multiple times,post_call
S00003424,M00003588,2023-01-01,7,4,7,Website is confusing,post_digital
S00003425,M00002788,2023-07-23,4,4,1,Too long wait time,post_digital
S00003426,M00008479,2024-07-25,9,3,3,Process is too complicated,post_call
S00003427,M00002755,2023-08-10,5,3,3,,annual
S00003428,M00003727,2023-06-27,4,3,1,Quick and easy,periodic
S00003429,M00003910,2024-07-01,4,5,6,Had to call multiple times,periodic
S00003430,M00006884,2023-12-18,6,4,3,,periodic
S00003431,M00005896,2023-05-03,6,3,4,,post_digital
S00003432,M00000820,2023-06-11,6,5,6,,post_call
S00003433,M00007234,2024-09-11,5,4,2,Quick and easy,annual
S00003434,M00001994,2023-08-12,7,3,2,,post_digital
S00003435,M00008422,2023-12-12,7,5,1,,post_call
S00003436,M00006382,2023-07-06,9,5,1,Had to call multiple times,annual
S00003437,M00009590,2023-11-10,8,5,2,,periodic
S00003438,M00009135,2023-08-28,9,5,3,,periodic
S00003439,M00001016,2024-09-10,1,3,2,Agent was knowledgeable,post_digital
S00003440,M00004895,2024-06-07,9,3,1,Very satisfied with my plan,periodic
S00003441,M00008844,2024-03-09,5,2,4,,periodic
S00003442,M00005034,2023-06-09,7,1,4,Too long wait time,annual
S00003443,M00006367,2024-09-28,0,1,1,,post_call
S00003444,M00007289,2023-07-24,8,3,4,Had to call multiple times,post_digital
S00003445,M00000158,2024-05-27,5,2,4,Process is too complicated,post_digital
S00003446,M00008678,2023-10-01,5,3,1,Agent was knowledgeable,post_call
S00003447,M00003963,2024-05-03,4,4,3,Very satisfied with my plan,periodic
S00003448,M00004996,2024-11-01,8,5,1,Billing is unclear,post_digital
S00003449,M00001579,2023-06-21,6,3,3,Could not find what I needed online,periodic
S00003450,M00008000,2024-11-28,10,3,2,,periodic
S00003451,M00007760,2023-02-12,7,4,3,,post_digital
S00003452,M00007324,2023-06-17,7,3,3,,post_call
S00003453,M00001342,2023-12-12,9,3,3,Website is confusing,post_digital
S00003454,M00004983,2024-12-22,10,5,1,,annual
S00003455,M00000889,2024-03-08,9,3,1,,post_call
S00003456,M00001845,2024-04-30,8,5,3,Quick and easy,post_call
S00003457,M00006507,2023-12-15,5,3,3,Had to call multiple times,post_call
S00003458,M00006019,2024-01-26,5,5,3,"Great service, very helpful",periodic
S00003459,M00005613,2024-06-03,5,4,1,Had to call multiple times,periodic
S00003460,M00001275,2023-09-04,5,2,3,Agent was knowledgeable,post_call
S00003461,M00004078,2023-03-30,8,2,4,Agent was knowledgeable,post_digital
S00003462,M00008080,2023-08-18,7,1,5,Website is confusing,post_digital
S00003463,M00005587,2023-07-17,10,4,1,Website is confusing,post_call
S00003464,M00002529,2024-08-31,8,4,6,,post_call
S00003465,M00006986,2023-09-17,0,3,5,Agent was knowledgeable,post_call
S00003466,M00008402,2024-08-26,10,5,5,Too long wait time,annual
S00003467,M00008503,2023-01-07,7,5,3,Could not find what I needed online,post_digital
S00003468,M00002630,2023-12-22,7,4,2,,post_digital
S00003469,M00005150,2023-02-10,5,3,2,Too long wait time,post_call
S00003470,M00002402,2024-11-30,1,5,3,Had to call multiple times,post_digital
S00003471,M00005890,2024-11-08,5,1,6,Website is confusing,annual
S00003472,M00009506,2024-07-07,5,5,7,,periodic
S00003473,M00000535,2024-08-23,7,4,6,,periodic
S00003474,M00004151,2023-05-02,5,3,6,Billing is unclear,post_digital
S00003475,M00006110,2024-08-02,9,2,4,,annual
S00003476,M00006086,2023-03-18,9,5,5,,post_digital
S00003477,M00007749,2024-11-05,8,4,2,Very satisfied with my plan,periodic
S00003478,M00002736,2023-01-28,4,4,3,,post_digital
S00003479,M00007298,2023-06-07,6,4,2,,post_digital
S00003480,M00004288,2024-09-30,8,4,1,Agent was knowledgeable,post_digital
S00003481,M00003806,2023-09-20,10,1,4,Process is too complicated,annual
S00003482,M00008118,2024-07-11,5,5,4,Had to call multiple times,post_call
S00003483,M00002910,2024-06-07,9,4,7,Agent was knowledgeable,post_call
S00003484,M00006706,2024-04-15,1,4,3,,post_digital
S00003485,M00008453,2023-06-21,8,2,2,Had to call multiple times,post_digital
S00003486,M00004236,2024-08-07,8,5,5,Too long wait time,post_digital
S00003487,M00008686,2024-01-05,9,5,4,Could not find what I needed online,post_call
S00003488,M00005430,2024-06-23,6,5,2,"Great service, very helpful",post_call
S00003489,M00002138,2024-05-05,6,5,2,,annual
S00003490,M00004708,2024-12-29,10,5,5,"Great service, very helpful",post_digital
S00003491,M00008347,2024-04-06,7,3,4,,post_call
S00003492,M00009856,2024-08-20,2,3,6,Billing is unclear,post_digital
S00003493,M00002112,2024-09-16,8,4,4,Could not find what I needed online,post_digital
S00003494,M00006113,2024-06-02,4,4,3,,post_call
S00003495,M00008160,2023-08-30,8,1,1,Could not find what I needed online,post_call
S00003496,M00008402,2023-04-28,8,5,1,,post_digital
S00003497,M00001913,2024-09-06,1,2,5,Quick and easy,post_call
S00003498,M00007027,2024-07-15,6,3,5,Billing is unclear,post_call
S00003499,M00005553,2023-06-21,6,4,4,Had to call multiple times,annual
S00003500,M00004168,2023-11-30,8,4,1,Very satisfied with my plan,post_call
S00003501,M00009099,2023-12-16,7,5,3,Had to call multiple times,post_digital
S00003502,M00000580,2023-01-02,6,4,6,Website is confusing,annual
S00003503,M00008092,2023-01-15,8,2,2,Could not find what I needed online,periodic
S00003504,M00007709,2024-03-27,5,4,4,Website is confusing,periodic
S00003505,M00006681,2023-08-23,8,4,1,,post_digital
S00003506,M00007717,2024-01-22,6,3,4,Website is confusing,post_digital
S00003507,M00004860,2024-09-29,10,5,3,Agent was knowledgeable,post_digital
S00003508,M00003959,2024-09-06,5,5,3,Website is confusing,post_call
S00003509,M00008515,2024-03-15,8,5,2,Could not find what I needed online,post_call
S00003510,M00000263,2023-04-15,8,4,2,Had to call multiple times,post_call
S00003511,M00006994,2024-12-13,0,4,3,,post_call
S00003512,M00005450,2024-09-24,7,3,4,Too long wait time,periodic
S00003513,M00003822,2024-06-04,7,5,1,Too long wait time,post_digital
S00003514,M00000276,2023-10-21,6,4,5,Billing is unclear,periodic
S00003515,M00001986,2024-02-23,9,3,4,Quick and easy,post_digital
S00003516,M00000730,2023-01-03,8,4,3,Website is confusing,annual
S00003517,M00003683,2024-10-04,7,3,5,Had to call multiple times,periodic
S00003518,M00004084,2023-08-05,7,3,5,Could not find what I needed online,post_call
S00003519,M00002609,2024-11-29,6,2,3,,post_digital
S00003520,M00005437,2024-01-21,7,4,1,Agent was knowledgeable,post_digital
S00003521,M00002874,2023-08-04,8,5,7,Process is too complicated,post_call
S00003522,M00001191,2023-05-20,10,3,1,,post_digital
S00003523,M00000359,2024-01-28,9,3,6,"Great service, very helpful",post_call
S00003524,M00005950,2023-06-18,6,3,1,Process is too complicated,post_digital
S00003525,M00005245,2024-02-23,4,4,3,Could not find what I needed online,post_digital
S00003526,M00005551,2024-05-24,8,2,6,Agent was knowledgeable,post_call
S00003527,M00004091,2023-12-10,7,3,3,"Great service, very helpful",periodic
S00003528,M00004249,2024-09-15,9,4,2,"Great service, very helpful",periodic
S00003529,M00000127,2023-04-24,6,2,1,,post_call
S00003530,M00002591,2024-06-25,1,4,4,Quick and easy,periodic
S00003531,M00001359,2023-07-08,2,3,2,Very satisfied with my plan,annual
S00003532,M00005160,2024-11-12,5,5,2,Very satisfied with my plan,periodic
S00003533,M00000885,2024-06-22,8,3,3,,post_call
S00003534,M00003644,2024-12-20,0,1,3,Agent was knowledgeable,post_call
S00003535,M00002371,2023-08-03,4,5,3,,post_digital
S00003536,M00007859,2024-06-11,10,3,2,Process is too complicated,post_call
S00003537,M00003636,2024-04-18,8,5,4,"Great service, very helpful",post_call
S00003538,M00006520,2024-10-07,10,4,7,,post_digital
S00003539,M00005839,2024-04-14,8,4,7,Very satisfied with my plan,post_call
S00003540,M00001631,2024-05-31,8,5,3,,post_call
S00003541,M00009692,2024-09-07,9,4,2,,post_call
S00003542,M00008602,2024-06-05,3,3,4,Too long wait time,annual
S00003543,M00002172,2024-02-28,8,3,3,Billing is unclear,post_call
S00003544,M00000124,2024-08-05,2,5,3,"Great service, very helpful",post_call
S00003545,M00002604,2024-05-26,7,5,2,Process is too complicated,post_call
S00003546,M00005765,2023-10-04,9,3,4,Could not find what I needed online,post_call
S00003547,M00002227,2024-11-21,8,3,3,Website is confusing,post_call
S00003548,M00008471,2024-06-10,7,4,2,Could not find what I needed online,annual
S00003549,M00004934,2023-04-14,6,5,1,,post_call
S00003550,M00007553,2024-01-23,6,4,3,"Great service, very helpful",post_call
S00003551,M00002552,2024-07-13,7,2,3,Quick and easy,annual
S00003552,M00004564,2024-03-16,8,4,2,Too long wait time,periodic
S00003553,M00002551,2023-03-24,5,5,3,Had to call multiple times,post_digital
S00003554,M00009989,2024-12-08,8,4,2,,periodic
S00003555,M00008613,2023-04-07,6,1,4,,post_call
S00003556,M00007646,2023-07-21,10,1,1,,post_digital
S00003557,M00005366,2023-05-11,9,2,3,,annual
S00003558,M00009506,2023-06-04,7,4,2,,post_digital
S00003559,M00009540,2024-03-20,0,5,4,,post_digital
S00003560,M00006471,2023-05-28,6,3,1,"Great service, very helpful",post_call
S00003561,M00008076,2024-06-06,3,3,5,,post_digital
S00003562,M00006255,2024-10-09,7,5,4,,post_digital
S00003563,M00006326,2023-10-31,7,3,1,,post_call
S00003564,M00006865,2023-10-10,6,5,4,Had to call multiple times,post_digital
S00003565,M00003134,2024-05-20,7,4,2,"Great service, very helpful",periodic
S00003566,M00009889,2023-03-18,2,3,3,Could not find what I needed online,post_digital
S00003567,M00004746,2024-07-16,7,4,6,"Great service, very helpful",periodic
S00003568,M00005431,2023-02-25,4,3,3,"Great service, very helpful",post_digital
S00003569,M00005735,2023-01-25,9,5,2,Too long wait time,annual
S00003570,M00006916,2024-05-28,9,1,3,Quick and easy,post_call
S00003571,M00002321,2024-03-20,8,4,3,,post_call
S00003572,M00004967,2023-02-23,0,3,2,Quick and easy,post_digital
S00003573,M00009404,2023-07-13,5,1,3,"Great service, very helpful",periodic
S00003574,M00005581,2023-07-29,5,5,4,Website is confusing,post_call
S00003575,M00004858,2024-05-28,2,4,3,Website is confusing,post_call
S00003576,M00003220,2023-06-08,6,4,4,"Great service, very helpful",periodic
S00003577,M00007966,2023-11-14,9,3,4,,post_call
S00003578,M00004722,2024-08-06,5,3,1,Website is confusing,annual
S00003579,M00000108,2024-06-04,5,3,6,Website is confusing,periodic
S00003580,M00009161,2024-05-16,7,3,3,,periodic
S00003581,M00007532,2023-07-13,10,4,6,Agent was knowledgeable,annual
S00003582,M00004398,2023-09-10,9,1,4,,post_call
S00003583,M00004441,2023-12-13,0,3,3,Very satisfied with my plan,post_digital
S00003584,M00004995,2023-11-06,7,3,4,Agent was knowledgeable,post_call
S00003585,M00008081,2023-09-23,4,2,1,Too long wait time,annual
S00003586,M00000687,2024-03-29,9,3,4,,post_digital
S00003587,M00009625,2023-06-17,2,4,2,,post_digital
S00003588,M00002582,2023-11-21,7,4,6,Website is confusing,periodic
S00003589,M00005523,2023-05-23,2,5,2,Very satisfied with my plan,post_call
S00003590,M00003678,2024-03-18,8,4,5,Quick and easy,post_call
S00003591,M00008789,2023-09-25,2,5,6,Had to call multiple times,periodic
S00003592,M00007796,2023-12-18,10,3,2,Could not find what I needed online,post_call
S00003593,M00002223,2023-11-09,9,3,1,Billing is unclear,post_digital
S00003594,M00009555,2024-03-13,3,3,4,,post_call
S00003595,M00004755,2023-01-22,4,5,3,,post_call
S00003596,M00003530,2023-10-23,8,3,6,"Great service, very helpful",periodic
S00003597,M00003429,2023-12-21,5,4,2,Could not find what I needed online,periodic
S00003598,M00000312,2024-09-30,8,3,1,Quick and easy,annual
S00003599,M00004878,2024-05-04,1,5,3,,post_digital
S00003600,M00000755,2024-03-07,5,4,2,"Great service, very helpful",annual
S00003601,M00005257,2023-07-25,10,4,4,Very satisfied with my plan,post_call
S00003602,M00008140,2024-11-08,1,1,2,Very satisfied with my plan,post_call
S00003603,M00008299,2024-06-07,9,4,7,,post_digital
S00003604,M00007512,2024-10-13,6,3,1,,post_digital
S00003605,M00008643,2024-04-09,8,3,4,Very satisfied with my plan,post_digital
S00003606,M00009039,2023-05-11,2,4,3,,annual
S00003607,M00006004,2023-06-13,8,5,1,,annual
S00003608,M00008580,2024-02-07,5,5,2,Agent was knowledgeable,post_digital
S00003609,M00005917,2023-07-17,0,5,4,,post_call
S00003610,M00007598,2023-12-15,3,4,2,,post_digital
S00003611,M00006558,2024-12-16,4,5,5,Had to call multiple times,periodic
S00003612,M00004230,2023-04-27,1,4,1,Process is too complicated,periodic
S00003613,M00000561,2024-03-23,8,1,4,Billing is unclear,post_digital
S00003614,M00002123,2024-04-19,9,4,2,Agent was knowledgeable,post_digital
S00003615,M00008012,2024-08-20,10,4,4,"Great service, very helpful",post_call
S00003616,M00005470,2024-03-22,7,4,1,Very satisfied with my plan,post_call
S00003617,M00001418,2023-03-26,9,5,3,Billing is unclear,post_call
S00003618,M00001640,2023-08-14,7,4,7,,post_digital
S00003619,M00002772,2023-06-04,9,5,2,Process is too complicated,periodic
